FirstName,LastName,Email,Mobile,Gender,Status,Profile,Address,CreatedAt,UpdatedAt
Maa Sharda,Maiher,maasharda@gmail.com,9867564670,F,Active,5HEY-2034.png,"maiher, madhya padesh",Tue Apr 09 2024 20:46:54 GMT+0530 (India Standard Time),Fri Apr 12 2024 20:07:32 GMT+0530 (India Standard Time)
Ayushi,Yadav,ayushi@gmail.com,9867564674,F,Inactive,76D3-4093.png,"maiher, madhya padesh",Wed Apr 10 2024 21:31:07 GMT+0530 (India Standard Time),Fri Apr 12 2024 20:07:19 GMT+0530 (India Standard Time)
Ashu,Mishra,dsa@gmail.com,9867564675,M,Active,HTSY-3486.jpg,"120, saha urf peepal gao, jhalwa, prayagraj.",Fri Apr 12 2024 22:51:43 GMT+0530 (India Standard Time),Fri Apr 12 2024 22:51:43 GMT+0530 (India Standard Time)
Dravinanshu Mishra,Mishra,dravinanshu19897@gmail.com,9867504678,M,Active,QIJJ-1546.png,"120, saha urf peepal gao, jhalwa, prayagraj.",Fri Apr 12 2024 23:07:13 GMT+0530 (India Standard Time),Fri Apr 12 2024 23:07:13 GMT+0530 (India Standard Time)
DSA Ji,Mishra,dsanew98@gmil.com,9067564678,F,Active,TFQA-1781.jpg,"varansi, uttar parsesh",Sat Apr 13 2024 21:14:08 GMT+0530 (India Standard Time),Sat Apr 13 2024 21:14:08 GMT+0530 (India Standard Time)
Hhqdjdjjdj,Mishra,dsa19987@gmil.com,9167564678,F,Active,QX3W-9883.jpg,"maiher, madhya padesh",Sat Apr 13 2024 21:14:54 GMT+0530 (India Standard Time),Sat Apr 13 2024 21:14:54 GMT+0530 (India Standard Time)
Amit Kumar,Mishra,ashishshs@gmail.com,9817564678,M,Inactive,888C-6294.jpg,"Jhalwa, prayagraj. UP",Sat Apr 13 2024 21:16:00 GMT+0530 (India Standard Time),Sat Apr 13 2024 21:16:00 GMT+0530 (India Standard Time)
Amit Kumar,Mishra,ashqqi@gmail.com,9867564608,M,Active,NGTI-7463.png,"120, saha urf peepal gao, jhalwa, prayagraj.",Sat Apr 13 2024 22:11:53 GMT+0530 (India Standard Time),Sat Apr 13 2024 22:11:53 GMT+0530 (India Standard Time)
Dravinanshu,Mishra,dravinanshu9aaa7@gmail.com,9867564618,M,Active,12TZ-8988.png,"120, saha urf peepal gao, jhalwa, prayagraj.",Sat Apr 13 2024 22:12:28 GMT+0530 (India Standard Time),Sat Apr 13 2024 22:12:28 GMT+0530 (India Standard Time)
Dravinanshu,Mishra,dravinanshu9vvv7@gmail.com,1867564678,M,Active,Q0DL-5246.png,"120, saha urf peepal gao, jhalwa, prayagraj.",Sat Apr 13 2024 22:13:44 GMT+0530 (India Standard Time),Sat Apr 13 2024 22:13:44 GMT+0530 (India Standard Time)
Divya,Mishra,divya@gmail.com,1234567898,M,Active,FV1L-8613.png,"180, jawahar nagar, Kanpur",Sat Apr 13 2024 22:14:31 GMT+0530 (India Standard Time),Sat Apr 13 2024 22:14:31 GMT+0530 (India Standard Time)
Deepika,Deepika,deepika@gmail.com,2345678998,F,Active,IH0O-3991.png,"120, saha urf peepal gao, jhalwa, prayagraj.",Sat Apr 13 2024 22:15:16 GMT+0530 (India Standard Time),Sat Apr 13 2024 22:15:16 GMT+0530 (India Standard Time)
Dravinanshu,Mishra,ashummmm@gmail.com,4567899876,M,Active,XXWN-2198.png,"120, saha urf peepal gao, jhalwa, prayagraj.",Sat Apr 13 2024 22:15:51 GMT+0530 (India Standard Time),Sat Apr 13 2024 22:15:51 GMT+0530 (India Standard Time)
